Date,T-BILL1Y,Value
04/01/2010,1.525642,1
05/01/2010,1.524224,0
06/01/2010,1.518552,0
07/01/2010,1.489484,0
08/01/2010,1.464666,0
11/01/2010,1.457575,0
12/01/2010,1.44481,0
13/01/2010,1.443392,0
14/01/2010,1.456157,1
15/01/2010,1.463012,1
18/01/2010,1.468921,1
19/01/2010,1.476248,1
20/01/2010,1.478848,1
21/01/2010,1.491611,1
22/01/2010,1.489484,0
25/01/2010,1.500403,1
26/01/2010,1.492793,0
27/01/2010,1.494447,1
28/01/2010,1.484521,0
29/01/2010,1.494447,1
01/02/2010,1.519261,1
02/02/2010,1.556831,1
03/02/2010,1.573842,1
04/02/2010,1.585748,1
05/02/2010,1.578803,0
08/02/2010,1.580929,1
09/02/2010,1.580929,1
10/02/2010,1.580929,1
11/02/2010,1.588016,1
12/02/2010,1.589433,1
15/02/2010,1.586598,0
16/02/2010,1.588725,1
17/02/2010,1.586598,0
18/02/2010,1.583764,0
19/02/2010,1.588725,1
22/02/2010,1.585181,0
23/02/2010,1.586598,1
24/02/2010,1.587071,1
25/02/2010,1.580456,0
26/02/2010,1.578803,0
02/03/2010,1.60526,1
03/03/2010,1.609275,1
04/03/2010,1.607858,0
05/03/2010,1.611874,1
08/03/2010,1.606441,0
09/03/2010,1.606441,1
10/03/2010,1.609275,1
11/03/2010,1.614944,1
12/03/2010,1.617779,1
15/03/2010,1.617779,1
16/03/2010,1.614944,0
17/03/2010,1.608567,0
18/03/2010,1.611874,1
19/03/2010,1.603606,0
22/03/2010,1.596992,0
23/03/2010,1.59652,0
24/03/2010,1.599355,1
25/03/2010,1.597654,0
26/03/2010,1.603606,1
29/03/2010,1.610693,1
30/03/2010,1.653205,1
31/03/2010,1.653205,1
01/04/2010,1.659817,1
02/04/2010,1.648954,0
05/04/2010,1.64612,0
07/04/2010,1.654858,1
08/04/2010,1.647254,0
09/04/2010,1.64527,0
12/04/2010,1.644939,0
16/04/2010,1.63195,0
19/04/2010,1.631714,0
20/04/2010,1.625101,0
21/04/2010,1.620613,0
22/04/2010,1.607858,0
23/04/2010,1.602189,0
26/04/2010,1.595103,0
27/04/2010,1.585417,0
28/04/2010,1.579795,0
29/04/2010,1.582346,1
30/04/2010,1.598646,1
04/05/2010,1.603606,1
06/05/2010,1.616834,1
07/05/2010,1.623447,1
10/05/2010,1.624864,1
11/05/2010,1.624864,1
12/05/2010,1.600299,0
13/05/2010,1.593685,0
14/05/2010,1.586598,0
17/05/2010,1.586598,1
18/05/2010,1.583764,0
19/05/2010,1.593685,1
24/05/2010,1.588016,0
25/05/2010,1.578803,0
26/05/2010,1.572188,0
27/05/2010,1.565573,0
31/05/2010,1.522806,0
01/06/2010,1.524224,1
02/06/2010,1.518269,0
03/06/2010,1.526209,1
04/06/2010,1.525878,0
07/06/2010,1.517135,0
08/06/2010,1.525878,1
09/06/2010,1.521388,0
10/06/2010,1.506028,0
11/06/2010,1.524224,1
14/06/2010,1.525642,1
15/06/2010,1.524224,0
16/06/2010,1.527059,1
17/06/2010,1.532494,1
18/06/2010,1.53911,1
21/06/2010,1.540764,1
22/06/2010,1.544072,1
23/06/2010,1.545726,1
24/06/2010,1.545726,1
25/06/2010,1.548042,1
28/06/2010,1.550688,1
29/06/2010,1.555981,1
30/06/2010,1.558958,1
02/07/2010,1.569707,1
05/07/2010,1.606913,1
06/07/2010,1.654858,1
07/07/2010,1.677999,1
08/07/2010,1.732537,1
09/07/2010,1.757322,1
12/07/2010,1.775496,1
13/07/2010,1.770539,0
14/07/2010,1.797963,1
15/07/2010,1.837321,1
16/07/2010,1.841568,1
19/07/2010,1.841568,1
20/07/2010,1.841568,1
21/07/2010,1.851477,1
22/07/2010,1.854308,1
23/07/2010,1.852893,0
27/07/2010,1.852893,1
28/07/2010,1.884032,1
29/07/2010,1.896769,1
30/07/2010,1.914223,1
02/08/2010,1.932147,1
03/08/2010,1.978836,1
04/08/2010,1.984494,1
05/08/2010,1.984494,1
06/08/2010,1.990153,1
09/08/2010,1.991567,1
10/08/2010,1.994396,1
11/08/2010,1.995811,1
16/08/2010,1.988502,0
17/08/2010,2.009956,1
18/08/2010,2.007127,0
19/08/2010,1.998404,0
20/08/2010,1.993453,0
23/08/2010,1.98025,0
24/08/2010,1.973177,0
25/08/2010,1.988502,1
26/08/2010,1.998404,1
27/08/2010,1.991803,0
30/08/2010,2.007127,1
31/08/2010,1.994396,0
01/09/2010,1.971998,0
02/09/2010,1.981665,1
03/09/2010,1.98025,0
06/09/2010,1.985909,1
07/09/2010,1.978836,0
08/09/2010,1.978836,1
09/09/2010,1.976006,0
10/09/2010,1.976006,1
13/09/2010,1.994396,1
14/09/2010,1.987324,0
15/09/2010,2.002883,1
16/09/2010,2.008541,1
17/09/2010,1.99864,0
20/09/2010,2.002883,1
21/09/2010,2.005712,1
22/09/2010,2.008541,1
23/09/2010,2.006655,0
24/09/2010,2.009956,1
27/09/2010,2.003355,0
28/09/2010,1.99864,0
29/09/2010,2.000054,1
30/09/2010,2.005005,1
01/10/2010,2.008541,1
04/10/2010,2.009956,1
05/10/2010,2.022685,1
06/10/2010,2.021271,0
07/10/2010,2.017028,0
08/10/2010,2.026928,1
11/10/2010,2.017028,0
12/10/2010,2.005995,0
13/10/2010,2.01137,1
14/10/2010,2.014199,1
15/10/2010,1.995811,0
18/10/2010,1.964689,0
19/10/2010,1.970348,1
20/10/2010,1.970348,1
21/10/2010,1.970348,1
22/10/2010,1.973177,1
26/10/2010,1.978836,1
27/10/2010,1.984494,1
28/10/2010,1.984494,1
29/10/2010,1.984494,1
01/11/2010,1.988738,1
02/11/2010,2.0241,1
03/11/2010,2.052856,1
04/11/2010,2.066525,1
05/11/2010,2.069353,1
08/11/2010,2.077837,1
09/11/2010,2.075009,0
10/11/2010,2.075952,1
11/11/2010,2.077837,1
12/11/2010,2.090798,1
15/11/2010,2.079251,0
16/11/2010,2.090798,1
17/11/2010,2.091128,1
18/11/2010,2.090563,0
19/11/2010,2.090563,1
22/11/2010,2.091976,1
23/11/2010,2.097396,1
24/11/2010,2.100695,1
25/11/2010,2.095747,0
26/11/2010,2.102015,1
29/11/2010,2.100695,0
30/11/2010,2.105643,1
01/12/2010,2.130713,1
02/12/2010,2.160066,1
03/12/2010,2.155119,0
07/12/2010,2.170289,1
08/12/2010,2.201286,1
09/12/2010,2.237552,1
13/12/2010,2.224836,0
14/12/2010,2.288644,1
15/12/2010,2.357845,1
16/12/2010,2.346313,0
17/12/2010,2.387259,1
20/12/2010,2.388671,1
21/12/2010,2.389142,1
22/12/2010,2.375965,0
23/12/2010,2.373988,0
24/12/2010,2.379259,1
27/12/2010,2.375965,0
28/12/2010,2.377941,1
29/12/2010,2.380906,1
30/12/2010,2.383024,1
04/01/2011,2.509345,1
05/01/2011,2.504406,0
06/01/2011,2.517575,1
07/01/2011,2.517575,1
10/01/2011,2.557077,1
11/01/2011,2.573533,1
12/01/2011,2.57847,1
13/01/2011,2.580116,1
14/01/2011,2.580586,1
17/01/2011,2.560838,0
18/01/2011,2.56366,1
19/01/2011,2.553785,0
20/01/2011,2.558017,1
21/01/2011,2.555196,0
24/01/2011,2.556606,1
25/01/2011,2.541089,0
26/01/2011,2.535681,0
27/01/2011,2.535446,0
28/01/2011,2.538973,1
31/01/2011,2.54391,1
01/02/2011,2.558722,1
02/02/2011,2.589989,1
03/02/2011,2.583407,0
04/02/2011,2.581996,0
07/02/2011,2.584817,1
08/02/2011,2.596571,1
09/02/2011,2.589049,0
10/02/2011,2.590459,1
11/02/2011,2.589049,0
14/02/2011,2.59328,1
15/02/2011,2.596101,1
16/02/2011,2.609075,1
17/02/2011,2.638689,1
21/02/2011,2.608793,0
22/02/2011,2.645457,1
23/02/2011,2.649687,1
24/02/2011,2.655327,1
25/02/2011,2.68047,1
28/02/2011,2.68047,1
01/03/2011,2.727222,1
02/03/2011,2.730041,1
03/03/2011,2.764335,1
04/03/2011,2.764335,1
07/03/2011,2.774199,1
08/03/2011,2.767623,0
09/03/2011,2.763865,0
10/03/2011,2.764335,1
11/03/2011,2.743289,0
14/03/2011,2.746249,1
15/03/2011,2.728632,0
16/03/2011,2.742961,1
17/03/2011,2.734739,0
18/03/2011,2.716651,0
21/03/2011,2.733095,1
22/03/2011,2.735397,1
23/03/2011,2.73286,0
24/03/2011,2.728632,0
25/03/2011,2.736384,1
28/03/2011,2.739672,1
29/03/2011,2.751182,1
30/03/2011,2.765979,1
31/03/2011,2.828114,1
01/04/2011,2.821634,0
04/04/2011,2.85178,1
05/04/2011,2.853752,1
07/04/2011,2.823512,0
08/04/2011,2.824452,1
11/04/2011,2.85178,1
12/04/2011,2.847836,0
18/04/2011,2.848165,1
19/04/2011,2.872814,1
20/04/2011,2.877744,1
21/04/2011,2.862485,0
22/04/2011,2.861077,0
25/04/2011,2.867885,1
26/04/2011,2.877979,1
27/04/2011,2.942755,1
28/04/2011,2.992028,1
29/04/2011,3.003289,1
03/05/2011,3.046919,1
04/05/2011,3.111923,1
06/05/2011,3.067604,0
09/05/2011,3.08069,1
10/05/2011,3.125709,1
11/05/2011,3.084911,0
12/05/2011,3.125709,1
13/05/2011,3.076469,0
18/05/2011,3.08069,1
19/05/2011,3.083504,1
20/05/2011,3.127351,1
23/05/2011,3.086318,0
24/05/2011,3.089132,1
25/05/2011,3.087725,0
26/05/2011,3.097808,1
27/05/2011,3.083035,0
30/05/2011,3.096166,1
31/05/2011,3.148684,1
01/06/2011,3.099449,0
02/06/2011,3.159186,1
03/06/2011,3.122896,0
06/06/2011,3.117269,0
07/06/2011,3.177751,1
08/06/2011,3.188064,1
09/06/2011,3.214313,1
10/06/2011,3.211032,0
13/06/2011,3.211032,1
14/06/2011,3.284606,1
15/06/2011,3.28894,1
16/06/2011,3.293039,1
17/06/2011,3.293039,1
20/06/2011,3.294445,1
21/06/2011,3.304517,1
22/06/2011,3.323959,1
23/06/2011,3.386487,1
24/06/2011,3.412711,1
27/06/2011,3.460232,1
28/06/2011,3.477084,1
29/06/2011,3.496275,1
30/06/2011,3.499552,1
04/07/2011,3.488318,0
05/07/2011,3.526228,1
06/07/2011,3.551966,1
07/07/2011,3.555241,1
08/07/2011,3.538864,0
11/07/2011,3.540268,1
12/07/2011,3.56343,1
13/07/2011,3.576765,1
14/07/2011,3.56343,0
