Date,Open,High,Low,Close,Adj Close,Volume
2018-04-29,12270.799805,12444.070313,11920.209961,12103.549805,12103.549805,2384711
2018-04-30,12103.549805,12140.120117,11605.150391,11935.790039,11935.790039,6473572
2018-05-01,11935.790039,12247.200195,11769.219727,12142.080078,12142.080078,3484378
2018-05-02,12142.080078,12535.839844,11797.179688,12526.349609,12526.349609,7328669
2018-05-03,12526.349609,12658.139648,12124.950195,12568.339844,12568.339844,6062429
2018-05-04,12568.339844,12855.799805,12432.080078,12585.669922,12585.669922,4820829
2018-05-05,12687.200195,12771.030273,12156.280273,12365.519531,12365.519531,5714288
2018-05-06,12365.519531,12618.570313,11744.040039,11908.139648,11908.139648,4648996
2018-05-07,11908.139648,12694.780273,11745.549805,12033.230469,12033.230469,5170512
2018-05-08,12033.230469,12373.750000,11504.730469,12027.190430,12027.190430,3039085
2018-05-09,12027.190430,12143.509766,11614.549805,11614.820313,11614.820313,4001256
2018-05-10,11614.820313,11679.509766,10819.360352,10822.709961,10822.709961,4615677
2018-05-11,10822.709961,11219.990234,10677.570313,11082.400391,11082.400391,4036990
2018-05-12,11082.400391,11665.780273,10855.219727,11319.040039,11319.040039,2774570
2018-05-13,11319.040039,11334.120117,10678.559570,11029.700195,11029.700195,5685887
2018-05-14,10988.769531,11647.940430,10812.959961,10824.190430,10824.190430,4483881
2018-05-15,10837.919922,11239.559570,10582.830078,10784.589844,10784.589844,5279445
2018-05-16,10784.589844,11282.900391,10368.410156,10519.849609,10519.849609,4019148
2018-05-17,10550.049805,10815.500000,10260.400391,10566.910156,10566.910156,4217560
2018-05-18,10593.419922,11210.870117,10446.370117,10503.450195,10503.450195,2273583
2018-05-19,10503.450195,11333.679688,10182.190430,10600.780273,10600.780273,5147226
2018-05-20,10600.780273,11532.769531,10582.719727,10790.230469,10790.230469,2824621
2018-05-21,10790.230469,11230.490234,10291.379883,10399.790039,10399.790039,4351001
2018-05-22,10399.790039,10419.709961,9861.280273,9874.400391,9874.400391,6602968
2018-05-23,9874.400391,10173.889648,9699.769531,9918.160156,9918.160156,3857251
2018-05-24,9918.160156,10092.900391,9564.790039,9797.740234,9797.740234,2929244
2018-05-25,9797.740234,9998.330078,9610.870117,9693.040039,9693.040039,1746225
2018-05-26,9642.280273,9774.360352,9363.190430,9774.360352,9774.360352,1256626
2018-05-27,9774.360352,9799.650391,9253.049805,9269.370117,9269.370117,4467219
2018-05-28,9269.389648,9826.419922,9198.120117,9721.839844,9721.839844,3367719
2018-05-29,9666.719727,9958.219727,9370.459961,9587.870117,9587.870117,2039840
2018-05-30,9587.870117,10366.990234,9492.839844,9831.129883,9831.129883,3065142
2018-05-31,9831.129883,10470.370117,9577.240234,9789.799805,9789.799805,2006597
2018-06-01,9789.799805,10503.320313,9682.250000,9928.549805,9928.549805,2345667
2018-06-02,9933.169922,10091.320313,9788.099609,9950.379883,9950.379883,1681373
2018-06-03,9950.379883,10504.209961,9710.410156,9809.610352,9809.610352,2507062
2018-06-04,9814.040039,10289.259766,9634.849609,9900.019531,9900.019531,2387628
2018-06-05,9900.019531,10498.910156,9738.259766,9888.849609,9888.849609,2451373
2018-06-06,9888.849609,10208.919922,9864.339844,10087.400391,10087.400391,1838540
2018-06-07,10087.400391,10564.780273,9856.089844,9957.259766,9957.259766,1259919
2018-06-08,9957.259766,10565.700195,9821.990234,9879.040039,9879.040039,1276644
2018-06-09,9879.040039,10063.759766,8788.129883,8867.389648,8867.389648,2124519
2018-06-10,8867.389648,9186.490234,8867.389648,9082.419922,9082.419922,3111115
2018-06-11,9081.169922,9592.339844,8577.679688,8739.280273,8739.280273,4313088
2018-06-12,8739.280273,8949.509766,8334.750000,8377.799805,8377.799805,4026779
2018-06-13,8374.360352,9158.799805,8325.360352,8788.889648,8788.889648,3296844
2018-06-14,8788.889648,9401.919922,8408.570313,8553.919922,8553.919922,2681419
2018-06-15,8553.919922,9214.290039,8368.500000,8766.339844,8766.339844,2854798
2018-06-16,8765.599609,9366.679688,8607.400391,8739.419922,8739.419922,1029744
2018-06-17,8738.580078,9303.490234,8661.980469,9084.370117,9084.370117,3613285
2018-06-18,9084.370117,9613.459961,8820.049805,9143.429688,9143.429688,1564188
2018-06-19,9143.429688,9247.530273,8702.490234,9117.280273,9117.280273,1730411
